ID на поръчката,ДОГОВОР НОМЕР,contract_date_parsed,repair_type,object_type,season,quarter,month,day_of_week,value_bgn,value_log,value_bgn_normalized,num_offers,eu_financed,contractor,authority,authority_type,has_annex,annex_extension_days,actual_days,duration_confidence,ПРЕДМЕТ на договора,value_per_offer,town,lat,lng
375743,142000129,2024-04-02,other,доставки,spring,Q2,4,1,125000.0,11.736077016252437,125000.0,1.0,0,СИТЕРМ - ИНЖЕНЕРИНГ ЕООД,"""АЕЦ Козлодуй"" ЕАД, гр. Козлодуй",utility,0,0,8,estimated,"Доставка на резервни части и консумативи, производство на EFCO MASCHINENBAU GMBH",62500.0,козлодуй,43.7656,23.741349999999997
377118,140000130,2024-04-26,other,доставки,spring,Q2,4,4,64453.08,11.073708311251174,64453.08,1.0,0,Мерк България ЕАД,"""АЕЦ Козлодуй"" ЕАД, гр. Козлодуй",utility,0,0,45,estimated,"„Доставка на резервни части и консумативи, производство на MERCK KGaA”",32226.54,козлодуй,43.7323,23.78455
354749,006-24-PPL,2024-03-26,other,доставки,spring,Q1,3,1,0.1,0.09531017980432487,0.1,1.0,0,Калцит АД,"""Ей и Ес - 3С Марица изток I"" ЕООД",other,0,0,49,estimated,Доставка на хидратна вар [Са(ОН)2],0.05,марица,42.1821,24.8241
354749,005-24-PPL,2024-03-26,other,доставки,spring,Q1,3,1,0.1,0.09531017980432487,0.1,2.0,0,Брентаг България ООД,"""Ей и Ес - 3С Марица изток I"" ЕООД",other,0,0,74,estimated,Доставка на натриев карбонат [Na2CO3] Калцинирана сода – лека,0.03333333333333333,марица,42.19215,24.8238
354749,009-24-PL,2024-03-26,other,доставки,spring,Q1,3,1,0.1,0.09531017980432487,0.1,2.0,0,Химтекс ООД,"""Ей и Ес - 3С Марица изток I"" ЕООД",other,0,0,80,estimated,Доставка на натриев хипохлорит [NaClO],0.03333333333333333,марица,42.11505,24.81795
354749,010-24-PPL,2024-03-26,other,доставки,spring,Q1,3,1,0.1,0.09531017980432487,0.1,2.0,0,Континвест ООД - София /старо наименование Континвест ЕООД,"""Ей и Ес - 3С Марица изток I"" ЕООД",other,0,0,40,estimated,"Доставка на натриева основа [NaOН], течна, 50%",0.03333333333333333,марица,42.1173,24.68115
354749,008-24-PPL,2024-03-26,other,доставки,spring,Q1,3,1,0.1,0.09531017980432487,0.1,3.0,0,Континвест ООД - София /старо наименование Континвест ЕООД,"""Ей и Ес - 3С Марица изток I"" ЕООД",other,0,0,53,estimated,Доставка на сярна киселина[H2SO4],0.025,марица,42.0993,24.7911
354749,007-24-PPL,2024-03-26,other,доставки,spring,Q1,3,1,0.1,0.09531017980432487,0.1,3.0,0,Хим Комерс 2009 ЕООД,"""Ей и Ес - 3С Марица изток I"" ЕООД",other,0,0,9,estimated,"Доставка на ферихлорид [FeCI3], течен, 40%",0.025,марица,42.12585,24.7758
354749,013-24-PPL,2024-04-16,other,доставки,spring,Q2,4,1,0.1,0.09531017980432487,0.1,1.0,0,Хах Ланге ЕООД - София /старо наименование - Хах Ланге ООД/,"""Ей и Ес - 3С Марица изток I"" ЕООД",other,0,0,80,estimated,Доставка на лабораторни химикали за работа с наличното оборудване на работа с наличното оборудване на фирма HACH,0.05,марица,42.19815,24.81525
354749,012-24-PPL,2024-04-16,other,доставки,spring,Q2,4,1,0.1,0.09531017980432487,0.1,2.0,0,Актуал индъстрис ООД,"""Ей и Ес - 3С Марица изток I"" ЕООД",other,0,0,67,estimated,Доставката на флокулант за избистряне на индустриални води,0.03333333333333333,марица,42.195,24.7842
354749,011-24-PPL,2024-04-24,other,доставки,spring,Q2,4,2,0.1,0.09531017980432487,0.1,1.0,0,ЕКО АКВА ПУР ООД,"""Ей и Ес - 3С Марица изток I"" ЕООД",other,0,0,12,estimated,Доставка на химикали за корекционна обработка на водните системи в ТЕЦ Ей И Ес – 3С Марица Изток I,0.05,марица,42.0924,24.8208
367861,056А-23-PPL,2023-12-15,other,доставки,winter,Q4,12,4,0.1,0.09531017980432487,0.1,1.0,0,Йов България ООД,"""Ей и Ес - 3С Марица изток I"" ЕООД",other,0,0,88,estimated,Доставка на резервни части за редуктори производство на “PIV” (вътр.проц.4),0.05,марица,42.0924,24.69735
382017,ERMZ-CON-28/16.01.2024,2024-01-16,construction,строителство,winter,Q1,1,1,465244.23,13.050319921899549,465244.23,2.0,0,Етра-ЕЛ ООД - Велико Търново,"""Електроразпределителни мрежи Запад"" АД  /предишно наименование - ЧЕЗ Разпределение България АД /;   /предишно наименование Електроразпределение - Столично АД/",other,0,0,369,estimated,Строително-монтажни работи за реконструкция и ново изграждане на въздушни и кабелни мрежи ниско напрежение с изнасяне на електромерни табла на имотна граница на територията на област „Ловеч“,155081.41,неизвестен,42.702799999999996,25.3492
382017,ERMZ-CON-27/16.01.2024,2024-01-16,construction,строителство,winter,Q1,1,1,493935.65,13.110162549080357,493935.65,2.0,0,Стенли - 03 ЕООД,"""Електроразпределителни мрежи Запад"" АД  /предишно наименование - ЧЕЗ Разпределение България АД /;   /предишно наименование Електроразпределение - Столично АД/",other,0,0,230,estimated,Строително-монтажни работи за реконструкция и ново изграждане на въздушни и кабелни мрежи ниско напрежение с изнасяне на електромерни табла на имотна граница на територията на област „Монтана“,164645.21666666667,неизвестен,42.69665,25.27375
377680,РД-37-114,2023-12-22,road_repair,услуги,winter,Q4,12,4,4960.0,8.509362612301048,4960.0,1.0,0,Национален археологически институт с музей /НАИМ/,"Агенция ""Пътна инфраструктура"" /АПИ/ - /Старо наименование - /Национална агенция ""Пътна инфраструктура"" /НАПИ/ - /Старо наименование - Фонд ""Републиканска пътна инфраструктура""/ /ФРПИ/",state,0,0,254,estimated,"„Извършване на археологическо издирване на археологически обекти в рамките на обект: Пътен възел ,,Воденичане“ при км 298+600 на АМ „Тракия”.",2480.0,неизвестен,42.672349999999994,25.324749999999998
377680,РД-37-116,2023-12-22,other,услуги,winter,Q4,12,4,911200.0,13.722518788568415,911200.0,1.0,0,Национален археологически институт с музей /НАИМ/,"Агенция ""Пътна инфраструктура"" /АПИ/ - /Старо наименование - /Национална агенция ""Пътна инфраструктура"" /НАПИ/ - /Старо наименование - Фонд ""Републиканска пътна инфраструктура""/ /ФРПИ/",state,0,0,424,estimated,"„Извършване на предварителни археологически проучвания на обекти № 9, № 11 и № 13 по трасето на обект: АМ „Русе - Велико Търново“ от км 0+400 до км 76+040, за Обособена позиция № 2: „Обход на гр. Бяла",455600.0,неизвестен,42.75065,25.2892
377680,РД-37-3,2024-03-15,road_repair,услуги,spring,Q1,3,4,436465.0,12.986465758902714,436465.0,1.0,0,Национален археологически институт с музей /НАИМ/,"Агенция ""Пътна инфраструктура"" /АПИ/ - /Старо наименование - /Национална агенция ""Пътна инфраструктура"" /НАПИ/ - /Старо наименование - Фонд ""Републиканска пътна инфраструктура""/ /ФРПИ/",state,0,0,30,estimated,"„Извършване на пълно археологическо проучване на оставащата част от обект, находящ се в землището на с. Дърманци, общ. Мездра, в участъка на Лот 2 по трасето на Път I-1 (Е-79) „Мездра - Ботевград“",218232.5,неизвестен,42.74765,25.37305
377680,Д-46,2024-04-09,other,услуги,spring,Q2,4,1,565984.0,13.246322855067357,565984.0,1.0,0,Национален археологически институт с музей /НАИМ/,"Агенция ""Пътна инфраструктура"" /АПИ/ - /Старо наименование - /Национална агенция ""Пътна инфраструктура"" /НАПИ/ - /Старо наименование - Фонд ""Републиканска пътна инфраструктура""/ /ФРПИ/",state,0,0,263,estimated,"„Извършване на пълно археологическо проучване на обект № 03, Дренов от км 154+270 до км 154+520 по трасето на АМ „Хемус“ и на обредни ями източно“",282992.0,неизвестен,42.749449999999996,25.251549999999998
377680,Д-47,2024-04-09,other,услуги,spring,Q2,4,1,391634.0,12.878085562559834,391634.0,1.0,0,Национален археологически институт с музей /НАИМ/,"Агенция ""Пътна инфраструктура"" /АПИ/ - /Старо наименование - /Национална агенция ""Пътна инфраструктура"" /НАПИ/ - /Старо наименование - Фонд ""Републиканска пътна инфраструктура""/ /ФРПИ/",state,0,0,77,estimated,„Извършване на археологическо проучване на обект от км 180+120 и км 180+400 по трасето на АМ „Хемус“.,195817.0,неизвестен,42.7493,25.295199999999998
377680,Д-48,2024-04-09,other,услуги,spring,Q2,4,1,391634.0,12.878085562559834,391634.0,1.0,0,Национален археологически институт с музей /НАИМ/,"Агенция ""Пътна инфраструктура"" /АПИ/ - /Старо наименование - /Национална агенция ""Пътна инфраструктура"" /НАПИ/ - /Старо наименование - Фонд ""Републиканска пътна инфраструктура""/ /ФРПИ/",state,0,0,319,estimated,"„Извършване на археологическо проучване на Обект № 83 – Макариополско, между км 309+300 и км 309+500 по трасето на АМ „Хемус“",195817.0,неизвестен,42.71225,25.3765
377680,Д-51,2024-04-26,road_repair,услуги,spring,Q2,4,4,143551.0,11.87445261787988,143551.0,1.0,0,Национален археологически институт с музей /НАИМ/,"Агенция ""Пътна инфраструктура"" /АПИ/ - /Старо наименование - /Национална агенция ""Пътна инфраструктура"" /НАПИ/ - /Старо наименование - Фонд ""Републиканска пътна инфраструктура""/ /ФРПИ/",state,0,0,227,estimated,"„Извършване на пълно археологическо проучване на археологически обект в землището на с. Долна Вереница, обл. Монтана, по трасето на Път I-1 (E-79) „Мездра – Ботевград“.",71775.5,неизвестен,42.653299999999994,25.373649999999998
