ID на документ,ПУБЛИКУВАН НА,ID на поръчката,УНП,ЕИК на възложителя,ВЪЗЛОЖИТЕЛ,ПРЕДМЕТ на поръчката,S51.ID,ПРЕДМЕТ на договора,ДОГОВОР НОМЕР,ДАТА на изпращане на АНЕКСА,ЕИК на изпълнителя,ИЗПЪЛНИТЕЛ,ОПИСАНИЕ на измененията,ДОПЪЛНИТЕЛНО,НЕПРИДВИДИМОСТ,СТОЙНОСТ преди изменението,СТОЙНОСТ след изменението,ИЗМЕНЕНИЕ на стойността,ВАЛУТА,DATA_YEAR
1047073,26/02/2024,334890,00353-2016-0089,106513772,"""АЕЦ Козлодуй"" ЕАД, гр. Козлодуй",Подмяна на високоволтови разединители ОРУ 220kV,1199683,Подмяна на високоволтови разединители ОРУ 220 kV,178000006,26/02/2024,130638700,Мега ЕЛ ЕООД - София,"1. Раздел 1 „Предмет на договора“ се допълва, като се добавя нова т.1.3, а именно: „ВЪЗЛОЖИТЕЛЯТ възлага, а ИЗПЪЛНИТЕЛЯТ приема да изпълни допълнителни строително-монтажни дейности (СМР), съгласно Приложение 1А – Количествено-стойностна сметка.“ 2. В Раздел 2 на договора „Цена и начин на плащане“ се правят следните промени: 2.1. Променя се т.2.1 от договора и придобива следната редакция: „Цената на настоящия договор е в размер на 3 250 273,96 лв. (три милиона двеста и петдесет хиляди двеста седемдесет и три лева и деветдесет и шест стотинки) без ДДС, в това число“: 2.2. Добавя се нова точка 2.1.6 „Цената за изпълнение на допълнителните СМР (включително доставка на оборудване, материалите за тяхното изпълнение и пусково наладъчни работи, съгласно Приложение 1А – Количествено-стойностна сметка, е 762 273,13 лв. (седемстотин шестдесет и две хиляди двеста седемдесет и три лева и тринадесет стотинки) без ДДС.“","При изпълнението на СМР за полета 1 до 17: отпада необходимостта от изпълнение на част от дейностите от утвърдените Количествено-стойностни сметки (КСС), съгласно приетите РП; изпълнени са видове дейности и количества, които е било невъзможно да бъдат предвидени по време на изготвянето на РП, за които са оформени заповеди в Заповедната книга за съответното поле. Стойността на допълнително изпълнените дейности многократно превишава тази на отпадналите дейности. За да не бъде компрометирана надеждността на схемата в ОРУ220kV е крайно наложително да бъде извършена подмяна на текущите разединители в поле 19 на ОРУ220kV и разединители на 2АТ страна 220kV. Поради изключително голямата значимост на 2АТ за Електроенергийната система (ЕЕС) на страната и за АЕЦ „Козлодуй?, дейностите за поле 19 са оставени за финално изпълнение, с цел Изпълнителят да натрупа възможно най-голям опит в подмяната на разединителите и същата да бъде изпълнена безпроблемно.",,2488000.83,3250273.96,762273.13,BGN,2024
1047807,20/06/2024,334890,00353-2016-0089,106513772,"""АЕЦ Козлодуй"" ЕАД, гр. Козлодуй",Подмяна на високоволтови разединители ОРУ 220kV,1201435,Подмяна на високоволтови разединители ОРУ 220 kV,00353-2016-0089,20/06/2024,130638700,Мега ЕЛ ЕООД - София,"1. В раздел 2 на договора „Цена и начин на плащане” се правят следните промени: 1.1. Добавя нова т. 2.1.7: „Ценaтa по т. 2.1, 2.1.3, 2.1.5 и 2.1.6 за изпълнение на СМР и непредвидени разходи, се увеличава чрез прилагането на „Методиката за изменение на цената на договор за обществена поръчка в резултат на инфлация” както следва: •Коефициентът на тежест на строителните материали в себестойността на строежа е 67,00 % (Производствени сгради, инсталации, съоръжения в областта на енергийната инфраструктура); •Дата за определяне на стойността на СМР, предмет на изменение е тримесечието, в което са приети дейностите; •Изменение на стойността се изчислява за всеки отделен протокол за изпълнени и приети СМР, съобразно чл. 4 от „Методиката за изменение на цената на договор за обществена поръчка в резултат на инфлация”. Дейности изпълнени и разплатени преди подписване на настоящото споразумение не подлежат на индексиране. Продължава в Раздел VI.3)",,"Предвид значителното увеличение на цените на всички енергоносители, суровини и материали и нарастващата инфлация, със Закон за изменение и допълнение на ЗОП е въведена нова разпоредба – чл. 117а, даваща възможност за изменение на цените на договори за обществена поръчка при инфлация, при която съществено са увеличени цените на основните стоки и материали, формиращи стойността на договора. Изменението се извършва по „Методика за изменение на цената на договор за обществена поръчка в резултат на инфлация“ приета с ПМС No 290 от 27.09.2022 г. на Министерски съвет. Сериозните сътресения на пазара на енергия и енергийни източници и драстичното увеличение на цените горива и суровини води до съществено увеличение на цените на основните стоки и материали, формиращи стойността на договора, т.е. налице са  обстоятелства, които са непредвидени и непредвидими за Възложителя и Изпълнителя.",2488000.83,2488000.83,0,BGN,2024
1046965,16/02/2024,369682,00353-2019-0053,106513772,"""АЕЦ Козлодуй"" ЕАД, гр. Козлодуй","Изграждане на три броя леки обемни гаражни клетки, сеизмично укрепване на гараж автоподемник и изграждане на битова сграда за дежурната смяна и оперативния дежурен на РСПБЗН – АЕЦ",1199477,"Изграждане на три броя леки обемни гаражни клетки, сеизмично укрепване на гараж автоподемник и изграждане на битова сграда за дежурната смяна и оперативния дежурен на РСПБЗН – АЕЦ",00353-2019-0053,15/02/2024,177405395,ДЗЗД ТП Пожарна АЕЦ - София,"1.	В раздел 2 на договора „Цена и начин на плащане” се правят следните промени: 1.1.	Добавя нова т. 2.1.4: „Цената по т.т. 2.1, 2.1.1, 2.1.2 и 2.1.3 за изпълнение на СМР, непредвидени разходи и доставка се увеличава чрез прилагането на „Методиката за изменение на цената на договор за обществена поръчка в резултат на инфлация” както следва: •	Коефициентът на тежест на строителните материали в себестойността на строежа е 58,00% (Сградно строителство – жилищно, административно, обществено-обслужващо и прилежаща инфраструктура); •	Дата за определяне на стойността на СМР, предмет на изменение е тримесечието на извършване на дейностите; •	Дата за определяне стойността на доставката, предмет на изменение е месеца, в който е приета доставката; •	Изменение на стойността на СМР се изчислява за изпълнени и приети СМР, съобразно чл. 4 и чл. 4а от „Методиката за изменение на цената на договор за обществена поръчка в резултат на инфлация”. Продължава в Раздел VI.3)",,"Поради високият инфлационен ръст - общо повишение на цените на стоките и услугите в България през 2022 г., със Закон за изменение и допълнение на ЗОП е въведена нова разпоредба – чл. 117а, която предоставя възможност за изменение на цените на договори за обществена поръчка при инфлация и съществено увеличение на цените на основните стоки и материали, формиращи стойността на договора. Изменението се извършва по „Методика за изменение на цената на договор за обществена поръчка в резултат на инфлация? е приета с ПМС №290 от 27.09.2022 г. на Министерски съвет и обнародвана на 30.09.2022 г. в Държавен вестник, бр. 78, допълнена в бр. 19 от 28.02.2023 г. и влязла в сила от 28.02.2023 г. Високият ръст на инфлация в страната през изминалата 2022 г.  доведе до съществено увеличаване цените на основните стоки и материали, които формират стойността на договора, т.е. налице са обстоятелства, които са непредвидени и непредвидими за Възложителя и Изпълнителя по настоящия договор.",2360855.47,2360855.47,0,BGN,2024
1046865,07/02/2024,370448,00353-2019-0071,106513772,"""АЕЦ Козлодуй"" ЕАД, гр. Козлодуй",Повишаване надеждността на собствени нужди на ОРУ. Промяна в захранване на РУСН и консуматори.,1199177,Повишаване надеждността на собствени нужди на ОРУ. Промяна в захранване на РУСН и консуматори.,108000029,05/02/2024,175329555,Монтажи Ко ЕООД,"В раздел 2 на договора „Цена и начин на плащане” се правят промени във връзка с Методиката за изменение на цената на договор за обществена поръчка в резултат на инфлация“, приета с ПМС № 290 от 27.09.2022 г. Всички останали клаузи на договор №108000029/29.07.2020г., непроменени с допълнителното споразумение, остават в сила и са задължителни за страните.",,"Във връзка с драстична промяна в пазарните условия, увеличение на цените на основни стоки, суровини и материали, и наличието на значителна инфлация, на основание чл. 116, ал.1, т.3 от Закона за обществените поръчки (ЗОП), във връзка с чл. 117а от същия и „Методиката за изменение на цената на договор за обществена поръчка в резултат на инфлация“ (Методиката), приета с ПМС № 290 от 27.09.2022 г.",3835000,3835000,0,BGN,2024
1046872,06/02/2024,375035,00353-2019-0109,106513772,"""АЕЦ Козлодуй"" ЕАД, гр. Козлодуй","Топлинно изолиране на външни стени и подмяна на дограма на сграда ""Инженерно-лабораторен корпус"", ЕП-2",1199200,"Топлинно изолиране на външни стени и подмяна на дограма на сграда ""Инженерно-лабораторен корпус"", ЕП-2",408000014,06/02/2024,831838874,НСК София ЕООД,"1. Променя се точка 3.1. от Договора и придобива следната редакция: „Срокът за изпълнение на дейностите е 300 календарни дни, считано от датата на уведомяване на ИЗПЪЛНИТЕЛЯ за издаване на протокол за проверка на документите от Дирекция Б и К и даване фронт за работа. 2. В 10- дневен срок след подписване на Допълнително споразумение № 1  ИЗПЪЛНИТЕЛЯТ представя актуализиран график за изпълнение, който след съгласуване и утвърждаване от ВЪЗЛОЖИТЕЛЯ става неразделна част от Договора. Всички останали клаузи на договор № 408000014/25.02.2020 г., непроменени с настоящото Допълнително споразумение, остават в сила и са задължителни за страните.",,"Във връзка с технологична невъзможност за своевременно осигуряване на фронт за работа и промяна на проектни решения в хода на изпълнение на дейностите, на основание чл.116, ал.1, т.7 от Закона за обществените поръчки (ЗОП), се налагат изменения, които не са съществени.",827859.96,827859.96,0,BGN,2024
1046647,25/01/2024,356722,05381-2018-0001,201383265,"""АйСиДжиБи"" АД","Проектиране, доставка и строителство на междусистемна газова връзка Гърция – България",1198855,"Проектиране, доставка и строителство на междусистемна газова връзка Гърция – България",P-09-C/30.04.2018,22/01/2024,0,„АВАКС“ АД,"Изменението на договора се извършва на основание чл. 116, ал. 1, т. 1 и т. 3  и чл. 117а от ЗОП. Изменението се състои в: - намаление на общата стойност на договора, поради отпадане на някои дейности до EUR 137 368 061; - горната стойност се увеличава с EUR 16 450 713, представляващи разликата между дължаща се на Изпълнителя индексация на основание чл. 117а, aл. 1 от ЗОП, във вр. със ПМС 290/27.09.2022 г. и неустойката, начислена от Възложителя за забава съгласно чл. 8.7.1 от Договора; - страните се споразумяват за частично приемане на работата на Изпълнителя в съответствие с чл. 10. 2 от Договора.",,"Изменението на договора се извършва на основание чл. 116, ал. 1, т.3  и чл. 117а от ЗОП. Изменението се състои в: - намаление на общата стойност на договора, поради отпадане на някои дейности до EUR 137 368 061; - горната стойност се увеличава с EUR 16 450 713, представляващи разликата между дължаща се на Изпълнителя индексация на основание чл. 117а, aл. 1 от ЗОП, във вр. със ПМС 290/27.09.2022 г. и неустойката, начислена от Възложителя за забава съгласно чл. 8.7.1 от Договора; - страните се споразумяват за частично приемане на работата на Изпълнителя в съответствие с чл. 10. 2 от Договора. Причините за измененията се налагат поради обстоятелства, които е било обективно невъзможно да бъдат предвидени: 1) продължителността на Работите; 2) забавянето на Работите както поради - външни причини, така и поради причини, свързани с Изпълнителя; 3) ефектът на COVID, който възпрепятства доставките на материали;",137368061,153818774,16450713,EUR,2024
1048317,01/10/2024,379765,01351-2020-0037,175203478,"""Булгартрансгаз"" ЕАД","Упражняване на консултантска дейност по чл.166, ал.1 от Закона за устройство на територията (ЗУТ) за строежи на „Булгартрансгаз“ ЕАД в три обособени позиции",1203200,"Упражняване на конс. дейност по чл.166,ал.1 от ЗУТ за строеж „Бетонен праг при прехода на Транз. газопровод за Гърция и Македония и на МГ през р. Луда Яна",4724,01/10/2024,177336185,Бул-Контрол ДЗЗД - София,"С ДС №1 от 20.09.2023 г., срокът на действие на договора до изпълнение на всички поети от страните задължения е променeн от 3 (три) на 4 (четири) години. С ДС № 2 от 03.09.2024 г., срокът на действие до изпълнение на всички поети от страните задължения се променя от 4 (четири) години на 5 (пет) години.",,"Срокът на действие до изпълнение на всички поети от страните задължения се променя от 4 (четири) години на 5 (пет) години, тъй като към настоящият момент е избран изпълнител на СМР на гореописания обект и предстои сключване на договор, както и при отчитане на обстоятелството, че изпълнението на дейностите по т.т. 1.1.3., 1.1.4., 1.1.5. и 1.1.6. от предмета на договора ще започнат след подписване на Протокол за откриване на строителна площадка и определяне на строителна линия и ниво на строежа на техническата инфраструктура (Обр.2а).",5760,5760,0,BGN,2024
1047875,01/07/2024,375625,00049-2019-0019,812114464,"""Бургасбус"" ЕООД",Техническо обслужване и ремонтна поддръжка в следгаранционен период на интегрирана електронна система за обслужване в масовия градски транспорт в Бургас,1201675,Техническо обслужване и ремонтна поддръжка в следгаранционен период на интегрирана електронна система за обслужване в масовия градски транспорт в Бургас,ОП - 041,01/07/2024,177439032,ДЗЗД Консорциум Телелинк Смарт Транспорт,"Налице са предпоставките за изменение на договора, предвидени в чл. 116, ал. 1, т. 3, поради обстоятелства, които при полагане на дължимата грижа възложителят не е могъл да предвиди- възникнала необходимост от изменение, което не води до промяна на предмета на договора. Невъзможността своевременно да бъде избран нов изпълнител за техническо обслужване и ремонтна поддръжка на интегрирана електронна система за обслужване в масовия градски транспорт се дължи на обстоятелството, че по вина на участник в процедурата същата е била прекратена.  Възложителят е положил дължимата грижа, като е открил процедура четири месеца преди изтичането срока на действащият договор със същият предмети въпреки това не е могъл да предвиди или да осуети прекратяването на процедурата. В периода от изтичане срока на Договор  № ОП-41/30.06.2020 г. до сключването на нов договор в резултат на провежданата процедура  е необходимо да се осигури непрекъсваемост на всички подсистеми в рамките на общата интегрирана систе",,"С оглед своевременното провеждане на нова процедура, с цел осигуряване на непрекъсваемост на предоставяната услуга и предвид изтичане на Договора, с Решение с рег. № F501705/28.03.2024 г. на инж. Петко Драгнев – Управител на „Бургасбус“ ЕООД своевременно е открита процедура чрез Договаряне с предварителна покана за участие с предмет: „Техническо обслужване и ремонтна поддръжка на интегрирана електронна система за обслужване в масовия градски транспорт в Бургас”, публикувани в РОП под  № 00049-2024-006.Същата е прекратена на основание чл. 108, т. 4 и чл. 22, ал. 1, т. 8, във връзка с чл. 110, ал. 1, т. 2 от ЗОП, предвид обстоятелството, че единственият участник не е декриптирал Ценовото си предложение, като срокът за обжалване на Решението за прекратяване е изтекъл на 24.06.2024 г.Открита е нова процедура публикувано в РОП под уникален № 00049-2024-0015.",1140000,1260000,120000,BGN,2024
1048078,31/07/2024,377755,00276-2020-0003,121396123,"""Български пощи"" /""БП""/ ЕАД","„Предоставяне на услуга за контрол на автомобилния парк на „Български пощи“ЕАД""",1202222,Предоставяне на услуга за контрол на автомобилния парк на „Български пощи“ЕАД,127,31/07/2024,115010439,ИКОМ ООД - гр. Пловдив,"Страните постигат съгласие да се прекрати договор №127/30.07.2020 г., на основание чл.21, ал.2, т.2 от същия, читано от датата на подписване на настоящото допълнително споразумение.",,"Страните постигат съгласие да се прекрати договор №127/30.07.2020 г., на основание чл.21, ал.2, т.2 от договора.",178560,178560,0,BGN,2024
1047548,08/05/2024,375341,01467-2019-0077,130277958,"""Електроразпределителни мрежи Запад"" АД  /предишно наименование - ЧЕЗ Разпределение България АД /;   /предишно наименование Електроразпределение - Столично АД/",Отпечатване и доставка на ваучери за храна за работниците и служителите на „ЧЕЗ Разпределение България“ АД,1200835,Отпечатване и доставка на ваучери за храна за работниците и служителите на „ЧЕЗ Разпределение България“ АД,20-120,08/05/2024,121396123,Български пощи /БП/ ЕАД - София,"Естеството на поръчката остава непроменено, има промени на основание чл. 116, ал. 1, т. 3  и т. 7 от ЗОП. Страните се споразумяват сркът на договора да се продължи до 30.06.2024 г., описано в чл. 1 от ДС № 2 / 21.03.2024 г.",,"На основание чл. 116, ал. 1, т. 3 от ЗОП",9396576,9396576,0,BGN,2024
