ID на документ,ПУБЛИКУВАН НА,ID на поръчката,УНП,ЕИК на възложителя,ВЪЗЛОЖИТЕЛ,ПРЕДМЕТ на поръчката,ОБЕКТ,EU ФИНАНСИРАНЕ,БРОЙ ОФЕРТИ,ПРЕДМЕТ на договора,ДОГОВОР НОМЕР,ДОГОВОР ДАТА,ЕИК на изпълнителя,ИЗПЪЛНИТЕЛ,СТОЙНОСТ при сключване,ВАЛУТА,ДДС,DATA_YEAR,SOURCE_FILE
1047350,04/04/2024,375743,00353-2019-0127,106513772,"""АЕЦ Козлодуй"" ЕАД, гр. Козлодуй","Доставка на резервни части и консумативи, производство на EFCO MASCHINENBAU GMBH",доставки,,1,"Доставка на резервни части и консумативи, производство на EFCO MASCHINENBAU GMBH",142000129,02/04/2024,822142775,СИТЕРМ - ИНЖЕНЕРИНГ ЕООД - Пазарджик,125000,BGN,,2024,dogovori-sklyucheni-v-rezultat-na-provedeni-protseduri-za-obshchestveni-porchki-contracts2024-rlcsv-danni-ot-rop.csv
1047553,08/05/2024,377118,00353-2019-0151,106513772,"""АЕЦ Козлодуй"" ЕАД, гр. Козлодуй","„Доставка на резервни части и консумативи, производство на MERCK KGaA”",доставки,,1,"„Доставка на резервни части и консумативи, производство на MERCK KGaA”",140000130,26/04/2024,200836780,Мерк България ЕАД  - София,64453.08,BGN,,2024,dogovori-sklyucheni-v-rezultat-na-provedeni-protseduri-za-obshchestveni-porchki-contracts2024-rlcsv-danni-ot-rop.csv
1047436,16/04/2024,354749,05242-2018-0019,123533834,"""Ей и Ес - 3С Марица изток I"" ЕООД",“Доставка на химикали за нуждите на ТЕЦ Ей и Ес – 3С Марица Изток 1”,доставки,,1,Доставка на хидратна вар [Са(ОН)2],006-24-PPL,26/03/2024,115005545,Калцит АД - Асеновград,0.1,BGN,,2024,dogovori-sklyucheni-v-rezultat-na-provedeni-protseduri-za-obshchestveni-porchki-contracts2024-rlcsv-danni-ot-rop.csv
1047436,16/04/2024,354749,05242-2018-0019,123533834,"""Ей и Ес - 3С Марица изток I"" ЕООД",“Доставка на химикали за нуждите на ТЕЦ Ей и Ес – 3С Марица Изток 1”,доставки,,2,Доставка на натриев карбонат [Na2CO3] Калцинирана сода – лека,005-24-PPL,26/03/2024,130948282,Брентаг България ООД - София,0.1,BGN,,2024,dogovori-sklyucheni-v-rezultat-na-provedeni-protseduri-za-obshchestveni-porchki-contracts2024-rlcsv-danni-ot-rop.csv
1047436,16/04/2024,354749,05242-2018-0019,123533834,"""Ей и Ес - 3С Марица изток I"" ЕООД",“Доставка на химикали за нуждите на ТЕЦ Ей и Ес – 3С Марица Изток 1”,доставки,,2,Доставка на натриев хипохлорит [NaClO],009-24-PL,26/03/2024,836149057,Химтекс ООД - Димитровград,0.1,BGN,,2024,dogovori-sklyucheni-v-rezultat-na-provedeni-protseduri-za-obshchestveni-porchki-contracts2024-rlcsv-danni-ot-rop.csv
1047436,16/04/2024,354749,05242-2018-0019,123533834,"""Ей и Ес - 3С Марица изток I"" ЕООД",“Доставка на химикали за нуждите на ТЕЦ Ей и Ес – 3С Марица Изток 1”,доставки,,2,"Доставка на натриева основа [NaOН], течна, 50%",010-24-PPL,26/03/2024,40967273,Континвест ООД - София /старо наименование Континвест ЕООД - София/,0.1,BGN,,2024,dogovori-sklyucheni-v-rezultat-na-provedeni-protseduri-za-obshchestveni-porchki-contracts2024-rlcsv-danni-ot-rop.csv
1047436,16/04/2024,354749,05242-2018-0019,123533834,"""Ей и Ес - 3С Марица изток I"" ЕООД",“Доставка на химикали за нуждите на ТЕЦ Ей и Ес – 3С Марица Изток 1”,доставки,,3,Доставка на сярна киселина[H2SO4],008-24-PPL,26/03/2024,40967273,Континвест ООД - София /старо наименование Континвест ЕООД - София/,0.1,BGN,,2024,dogovori-sklyucheni-v-rezultat-na-provedeni-protseduri-za-obshchestveni-porchki-contracts2024-rlcsv-danni-ot-rop.csv
1047436,16/04/2024,354749,05242-2018-0019,123533834,"""Ей и Ес - 3С Марица изток I"" ЕООД",“Доставка на химикали за нуждите на ТЕЦ Ей и Ес – 3С Марица Изток 1”,доставки,,3,"Доставка на ферихлорид [FeCI3], течен, 40%",007-24-PPL,26/03/2024,200737056,Хим Комерс 2009 ЕООД - Ямбол,0.1,BGN,,2024,dogovori-sklyucheni-v-rezultat-na-provedeni-protseduri-za-obshchestveni-porchki-contracts2024-rlcsv-danni-ot-rop.csv
1047527,30/04/2024,354749,05242-2018-0019,123533834,"""Ей и Ес - 3С Марица изток I"" ЕООД",“Доставка на химикали за нуждите на ТЕЦ Ей и Ес – 3С Марица Изток 1”,доставки,,1,Доставка на лабораторни химикали за работа с наличното оборудване на работа с наличното оборудване на фирма HACH,013-24-PPL,16/04/2024,131446037,Хах Ланге ЕООД - София /старо наименование - Хах Ланге ООД/,0.1,BGN,,2024,dogovori-sklyucheni-v-rezultat-na-provedeni-protseduri-za-obshchestveni-porchki-contracts2024-rlcsv-danni-ot-rop.csv
1047527,30/04/2024,354749,05242-2018-0019,123533834,"""Ей и Ес - 3С Марица изток I"" ЕООД",“Доставка на химикали за нуждите на ТЕЦ Ей и Ес – 3С Марица Изток 1”,доставки,,2,Доставката на флокулант за избистряне на индустриални води,012-24-PPL,16/04/2024,115655895,Актуал индъстрис ООД  - гр.Пловдив,0.1,BGN,,2024,dogovori-sklyucheni-v-rezultat-na-provedeni-protseduri-za-obshchestveni-porchki-contracts2024-rlcsv-danni-ot-rop.csv
1047527,30/04/2024,354749,05242-2018-0019,123533834,"""Ей и Ес - 3С Марица изток I"" ЕООД",“Доставка на химикали за нуждите на ТЕЦ Ей и Ес – 3С Марица Изток 1”,доставки,,1,Доставка на химикали за корекционна обработка на водните системи в ТЕЦ Ей И Ес – 3С Марица Изток I,011-24-PPL,24/04/2024,175318135,ЕКО АКВА ПУР ООД -София,0.1,BGN,,2024,dogovori-sklyucheni-v-rezultat-na-provedeni-protseduri-za-obshchestveni-porchki-contracts2024-rlcsv-danni-ot-rop.csv
1046370,05/01/2024,367861,05242-2019-0017,123533834,"""Ей и Ес - 3С Марица изток I"" ЕООД","Доставка на резервни части за редуктори производство на ""PIV""",доставки,,1,Доставка на резервни части за редуктори производство на “PIV” (вътр.проц.4),056А-23-PPL,15/12/2023,131111220,Йов България ООД,0.1,BGN,,2024,dogovori-sklyucheni-v-rezultat-na-provedeni-protseduri-za-obshchestveni-porchki-contracts2024-rlcsv-danni-ot-rop.csv
1046595,22/01/2024,382017,01467-2020-0047,130277958,"""Електроразпределителни мрежи Запад"" АД  /предишно наименование - ЧЕЗ Разпределение България АД /;   /предишно наименование Електроразпределение - Столично АД/","Строително-монтажни работи за реконструкция и ново изграждане на въздушни и кабелни мрежи НН с изнасяне на електромерни табла на имотна граница, на територията на области Монтана, Ловеч и Плевен",строителство,,2,Строително-монтажни работи за реконструкция и ново изграждане на въздушни и кабелни мрежи ниско напрежение с изнасяне на електромерни табла на имотна граница на територията на област „Ловеч“,ERMZ-CON-28/16.01.2024,16/01/2024,814224849,Етра-ЕЛ ООД - Велико Търново,465244.23,BGN,,2024,dogovori-sklyucheni-v-rezultat-na-provedeni-protseduri-za-obshchestveni-porchki-contracts2024-rlcsv-danni-ot-rop.csv
1046595,22/01/2024,382017,01467-2020-0047,130277958,"""Електроразпределителни мрежи Запад"" АД  /предишно наименование - ЧЕЗ Разпределение България АД /;   /предишно наименование Електроразпределение - Столично АД/","Строително-монтажни работи за реконструкция и ново изграждане на въздушни и кабелни мрежи НН с изнасяне на електромерни табла на имотна граница, на територията на области Монтана, Ловеч и Плевен",строителство,,2,Строително-монтажни работи за реконструкция и ново изграждане на въздушни и кабелни мрежи ниско напрежение с изнасяне на електромерни табла на имотна граница на територията на област „Монтана“,ERMZ-CON-27/16.01.2024,16/01/2024,111553117,Стенли - 03 ЕООД - Лом,493935.65,BGN,,2024,dogovori-sklyucheni-v-rezultat-na-provedeni-protseduri-za-obshchestveni-porchki-contracts2024-rlcsv-danni-ot-rop.csv
1046645,22/01/2024,377680,00044-2020-0002,000695089,"Агенция ""Пътна инфраструктура"" /АПИ/ - /Старо наименование - /Национална агенция ""Пътна инфраструктура"" /НАПИ/ - /Старо наименование - Фонд ""Републиканска пътна инфраструктура""/ /ФРПИ/","„Извършване на археологическо издирване на археологически обекти в рамките на обект: Пътен възел ,,Воденичане“ при км 298+600 на АМ „Тракия”.",услуги,,1,"„Извършване на археологическо издирване на археологически обекти в рамките на обект: Пътен възел ,,Воденичане“ при км 298+600 на АМ „Тракия”.",РД-37-114,22/12/2023,670919,Национален археологически институт с музей /НАИМ/ - София,4960,BGN,,2024,dogovori-sklyucheni-v-rezultat-na-provedeni-protseduri-za-obshchestveni-porchki-contracts2024-rlcsv-danni-ot-rop.csv
